;nu_Contrato;qtdContratosAditivos
0;000000209;1
2971;010082005;1
2972;010082010;1
2973;010082012;1
2974;010082013;1
1581;001222008;1
1580;001222007;1
1579;001222005;1
2976;010082015;1
2977;010092005;1
2978;010092010;1
2979;010092011;1
2981;010092015;1
1572;001212005;1
2982;010102010;1
2983;010102012;1
2985;010112008;1
2986;010112010;1
2999;010152015;1
2998;010152011;1
1553;001192007;1
2997;010152006;1
1555;001192010;1
1556;001192011;1
2970;010072015;1
2995;010142013;1
2992;010132013;1
2990;010122014;1
1561;0011D2010;1
1562;0012007TP;1
1563;001202005;1
1564;001202007;1
2994;010142010;1
3000;010162010;1
1587;001232005;1
1594;001242005;1
2932;009992008;1
1626;001272013;1
1625;001272012;1
1623;001272010;1
2935;00A232013;1
2936;00A292011;1
1620;001272007;1
1619;001272005;1
2937;00DI22014;1
2938;010002013;1
2939;010012006;1
1615;001262012;1
2940;010012007;1
2942;010012012;1
2946;010022007;1
2947;010022010;1
1610;001262007;1
2960;010052010;1
2958;010042013;1
2956;010042010;1
1598;001242012;1
2954;010032014;1
1601;001252005;1
2967;010072006;1
2952;010032011;1
2951;010022015;1
1605;001252012;1
2950;010022013;1
2949;010022012;1
1608;001262005;1
2948;010022011;1
1603;001252010;1
2931;009912010;1
3002;010162012;1
3006;010172012;1
3063;010392010;1
3065;010392014;1
3066;010392015;1
3069;010412013;1
3071;010412015;1
3072;010422011;1
3073;010422013;1
3074;010422014;1
3076;010432014;1
1480;001112005;1
3077;010442011;1
3079;010442013;1
3081;010452013;1
3082;010452014;1
3084;010472011;1
3085;010472013;1
1471;001102005;1
1457;001082014;1
3097;010522014;1
3093;010512015;1
3092;010512014;1
3091;010512013;1
3090;010502014;1
3062;010382015;1
1463;001092012;1
3088;010502012;1
3087;010482015;1
1467;0010A2009;1
1468;0010B2008;1
1469;0010B2009;1
1470;0010C2009;1
1464;001092013;1
3005;010172011;1
3061;010382014;1
3059;010372015;1
3007;010172013;1
3010;010182014;1
3011;010182015;1
1538;001172008;1
3017;010222011;1
3022;010242013;1
3024;010252013;1
1531;001162010;1
3034;010282013;1
3035;010282014;1
1527;001162005;1
3036;010282015;1
3037;010292011;1
1522;001152011;1
3040;010302014;1
3042;010312011;1
3043;010312013;1
1500;001132005;1
1502;001132009;1
3055;010362014;1
3054;010362013;1
3052;010352014;1
1508;001132015;1
3060;010382012;1
3050;010342014;1
3048;010332014;1
3047;010332013;1
3046;010322015;1
3045;010322013;1
1517;001152005;1
1518;001152007;1
1510;001142006;1
3099;010532013;1
1629;001282005;1
1631;001282008;1
2834;006212011;1
1745;001422010;1
2835;006232014;1
1743;001422005;1
1742;001412015;1
2837;006292005;1
2839;0062A2011;1
1738;001412010;1
1736;001412007;1
1735;001412005;1
2842;0063A2011;1
2846;0064A2012;1
2848;006542013;1
2849;006592013;1
1728;001402006;1
1727;001402005;1
2850;006652005;1
1705;001372008;1
2870;007322006;1
2869;0072B2010;1
2868;0072A2010;1
2863;006TP2013;1
2862;006SA2012;1
2833;006202013;1
1713;001382008;1
2860;006922015;1
2859;006912015;1
1718;001382013;1
2855;0067B2010;1
1721;001392005;1
2853;006712015;1
1715;001382010;1
1704;001372005;1
2831;0061A2007;1
1751;001432010;1
2802;005742013;1
2804;005782005;1
1784;001482006;1
2805;005782013;1
2807;005832013;1
1781;001472013;1
2809;005912015;1
2810;005952015;1
1778;001472008;1
1777;001472006;1
1776;001462015;1
2811;005962015;1
2812;005982015;1
2815;005SA2011;1
1772;001462010;1
1771;001462009;1
1770;001462008;1
2828;006162005;1
1755;001432015;1
1756;001442009;1
2825;006122015;1
2824;0060A2010;1
2823;0060A2009;1
2829;006162011;1
1760;001452006;1
2822;006052015;1
2821;006022015;1
2820;006012015;1
2817;005SE2013;1
2816;005SA2012;1
1769;001462007;1
1761;001452008;1
1630;001282007;1
2871;007382011;1
1701;001362013;1
2905;008702006;1
1663;001322005;1
2906;008712006;1
2907;008722006;1
2908;008762006;1
2909;008772006;1
2910;008782006;1
1657;001312010;1
2912;008862008;1
1654;001312004;1
1653;001302015;1
2913;008872007;1
2914;008912007;1
2916;008SA2012;1
2917;008TP2013;1
2920;009032007;1
1646;0012A2007;1
2930;009832006;1
2928;009662008;1
1634;001282012;1
2927;009542008;1
2926;009532006;1
1637;001292005;1
1665;001322008;1
1638;001292006;1
2923;009262007;1
2922;009142014;1
1642;001292012;1
1643;001292013;1
2921;009082007;1
1645;001292015;1
2924;009272008;1
2874;0075A2007;1
2904;008682009;1
2898;008542008;1
2875;007602012;1
2876;0076A2007;1
1698;001362005;1
2879;007CV2013;1
2881;008002011;1
1694;001352012;1
2882;008012011;1
2886;008122008;1
2887;008142014;1
1690;001352005;1
2888;008202007;1
1688;001342015;1
1687;001342014;1
2889;008382008;1
2890;0083A2010;1
2891;0083B2010;1
1683;001342005;1
1669;001322012;1
1670;001322013;1
1671;001322014;1
2897;008532008;1
1673;001332005;1
1674;001332008;1
2903;008592008;1
2896;008522008;1
2894;008502008;1
1678;001332012;1
2893;008412007;1
2892;0083C2010;1
1681;001332015;1
1682;001342004;1
2895;008512008;1
2800;005712014;1
3101;010542013;1
3104;010552015;1
3296;01PP72011;1
3299;01TP12012;1
3303;01c192009;1
3306;020032006;1
3308;020052010;1
1236;000892006;1
3309;020062013;1
3310;020082010;1
3311;020082015;1
3312;020102015;1
3313;020112015;1
3316;020142010;1
3317;020152010;1
3318;020162010;1
3319;020172010;1
1225;000882005;1
3321;020182010;1
1204;000862006;1
